ID,Marital_Status,Application_Mode,Course,Attendance_Type,Previous_Qualification,Admission_Grade,Displaced,Special_Needs,Debtor,Tuition_Fees_Up_To_Date,Gender,Scholarship_Holder,Age_At_Enrollment,International,Units_1st_Sem_Enrolled,Units_1st_Sem_Approved,Units_1st_Sem_Grade,Units_2nd_Sem_Enrolled,Units_2nd_Sem_Approved,Units_2nd_Sem_Grade,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Avg_Grade_Both_Sem,Unemployment_Rate,Inflation_Rate,GDP,Status
962,Single,Change of course,Management,Daytime,Secondary Education,130.2,No,No,No,Yes,Male,No,24,No,15,15,13.466666666666669,14,14,13.642857142857142,1.0,1.0,13.55,9.4,-0.8,-3.12,Graduate
963,Single,1st phase - general contingent,Equinculture,Daytime,Secondary Education,126.0,No,No,No,Yes,Male,No,18,No,5,3,13.666666666666666,5,5,13.2,0.6,1.0,13.43,7.6,2.6,0.32,Graduate
964,Single,1st phase - general contingent,Informatics Engineering,Daytime,Secondary Education,141.0,No,No,No,Yes,Male,No,18,No,5,2,11.666666666666666,5,2,12.5,0.4,0.4,12.08,7.6,2.6,0.32,Enrolled
965,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,113.0,Yes,No,No,Yes,Male,Yes,18,No,6,6,11.666666666666666,6,5,10.2,1.0,0.833,10.93,12.4,0.5,1.79,Graduate
966,Single,Technological specialization diploma holders,Agronomy,Daytime,Technological Specialization Course,120.0,No,No,No,Yes,Male,No,21,No,6,5,13.4,6,5,12.4,0.833,0.833,12.9,8.9,1.4,3.51,Graduate
967,Married,Over 23 years old,Management (evening attendance),Evening,Secondary Education,130.9,No,No,No,No,Male,No,28,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,Dropout
968,Single,Over 23 years old,Agronomy,Daytime,Other - 11th Year,120.0,No,No,No,Yes,Male,No,58,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,13.9,-0.3,0.79,Dropout
969,Married,Over 23 years old,Management (evening attendance),Evening,Secondary Education,134.1,Yes,No,No,No,Male,No,49,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
970,Single,Over 23 years old,Informatics Engineering,Daytime,Secondary Education,120.0,No,No,No,Yes,Male,No,24,No,5,3,10.666666666666666,5,2,10.5,0.6,0.4,10.58,15.5,2.8,-4.06,Enrolled
971,Single,Change of course,Advertising and Marketing Management,Daytime,Secondary Education,114.8,No,No,No,Yes,Male,No,25,No,5,4,13.75,5,4,14.75,0.8,0.8,14.25,7.6,2.6,0.32,Graduate
972,Divorced,Transfer,Management,Daytime,Secondary Education,123.0,Yes,No,No,Yes,Male,No,33,No,5,1,10.0,5,0,0.0,0.2,0.0,5.0,7.6,2.6,0.32,Dropout
973,Married,Over 23 years old,Informatics Engineering,Daytime,Basic Education 3rd Cycle,118.0,No,No,No,No,Male,No,33,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,Dropout
974,Married,Change of course,Basic Education,Daytime,Secondary Education,100.0,No,No,No,Yes,Male,No,40,No,2,1,16.0,4,4,15.5,0.5,1.0,15.75,13.9,-0.3,0.79,Graduate
975,Married,Over 23 years old,Management (evening attendance),Evening,Secondary Education,151.1,No,No,No,Yes,Male,No,48,No,5,5,12.285714285714286,5,5,11.125,1.0,1.0,11.71,16.2,0.3,-0.92,Graduate
976,Single,2nd phase - general contingent,Informatics Engineering,Daytime,Secondary Education,116.9,Yes,No,Yes,No,Male,No,18,No,5,3,12.0,5,3,10.333333333333334,0.6,0.6,11.17,8.9,1.4,3.51,Enrolled
977,Single,Over 23 years old,Nursing,Daytime,Basic Education 3rd Cycle,106.0,Yes,No,No,Yes,Male,No,24,No,7,6,12.666666666666666,7,6,12.666666666666666,0.857,0.857,12.67,7.6,2.6,0.32,Graduate
978,Married,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,127.1,No,No,No,Yes,Male,Yes,23,No,5,5,11.8,5,4,13.25,1.0,0.8,12.52,10.8,1.4,1.74,Graduate
979,Single,Over 23 years old,Management (evening attendance),Evening,Basic Education 3rd Cycle,155.5,Yes,No,Yes,No,Male,No,39,No,5,5,10.6,5,5,14.666666666666666,1.0,1.0,12.63,10.8,1.4,1.74,Dropout
980,Single,3rd phase - general contingent,Agronomy,Daytime,Secondary Education,101.0,No,No,No,Yes,Male,No,21,No,11,9,11.9,9,8,12.25,0.818,0.889,12.08,15.5,2.8,-4.06,Graduate
981,Single,Transfer,Informatics Engineering,Daytime,Frequency of Higher Education,128.2,Yes,No,No,Yes,Male,No,34,No,6,4,11.25,5,2,10.5,0.667,0.4,10.88,7.6,2.6,0.32,Dropout
982,Married,Over 23 years old,Management (evening attendance),Evening,Secondary Education,113.0,No,No,No,Yes,Male,Yes,41,No,5,4,11.0,5,5,11.4,0.8,1.0,11.2,8.9,1.4,3.51,Enrolled
983,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,122.8,No,No,No,Yes,Male,No,18,No,6,6,12.0,6,6,12.5,1.0,1.0,12.25,12.7,3.7,-1.7,Graduate
984,Married,Over 23 years old,Management (evening attendance),Evening,Secondary Education,145.6,No,No,No,Yes,Male,No,34,No,5,4,11.75,5,4,10.833333333333334,0.8,0.8,11.29,13.9,-0.3,0.79,Enrolled
985,Single,1st phase - general contingent,Management,Daytime,Secondary Education,116.5,No,No,No,Yes,Male,No,19,No,5,2,10.0,5,1,16.0,0.4,0.2,13.0,7.6,2.6,0.32,Dropout
986,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,142.0,No,No,No,Yes,Male,No,19,No,8,7,13.714285714285714,8,7,13.714285714285714,0.875,0.875,13.71,12.7,3.7,-1.7,Graduate
987,Single,Holders of other higher courses,Agronomy,Daytime,Higher Education - Master's,150.0,No,No,No,Yes,Male,No,28,No,6,6,14.875,6,6,15.8,1.0,1.0,15.34,16.2,0.3,-0.92,Graduate
988,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,133.3,Yes,No,No,Yes,Male,No,18,No,6,5,10.8,6,0,0.0,0.833,0.0,5.4,7.6,2.6,0.32,Dropout
989,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,115.8,Yes,No,No,Yes,Male,No,19,No,6,3,12.0,6,2,10.0,0.5,0.333,11.0,11.1,0.6,2.02,Dropout
990,Single,2nd phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,100.0,Yes,No,Yes,No,Male,No,19,No,6,5,12.5,6,2,13.5,0.833,0.333,13.0,12.4,0.5,1.79,Dropout
991,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,128.6,Yes,No,No,Yes,Female,No,18,No,7,7,14.728571428571428,8,8,16.327272727272728,1.0,1.0,15.53,16.2,0.3,-0.92,Graduate
992,Single,1st phase - general contingent,Equinculture,Daytime,Secondary Education,137.1,Yes,No,No,Yes,Female,No,18,No,6,6,12.0,6,5,14.8,1.0,0.833,13.4,12.4,0.5,1.79,Graduate
993,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,149.0,Yes,No,No,Yes,Female,No,18,No,6,6,11.428571428571429,6,6,11.0,1.0,1.0,11.21,11.1,0.6,2.02,Dropout
994,Single,Technological specialization diploma holders,Social Service,Daytime,Technological Specialization Course,147.0,Yes,No,No,Yes,Female,No,19,No,6,6,14.166666666666666,6,6,13.5,1.0,1.0,13.83,12.4,0.5,1.79,Graduate
995,Married,Holders of other higher courses,Social Service,Daytime,Higher Education - Degree,150.0,No,No,No,Yes,Female,No,31,No,6,5,12.5,6,5,14.6,0.833,0.833,13.55,12.7,3.7,-1.7,Graduate
996,Single,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,103.5,No,No,No,Yes,Female,Yes,33,No,6,6,14.166666666666666,6,6,14.333333333333334,1.0,1.0,14.25,12.7,3.7,-1.7,Graduate
997,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,107.8,Yes,No,No,Yes,Female,Yes,20,No,7,5,14.46,7,6,13.55,0.714,0.857,14.0,12.4,0.5,1.79,Enrolled
998,Single,Technological specialization diploma holders,Veterinary Nursing,Daytime,Technological Specialization Course,130.0,Yes,No,No,Yes,Female,No,22,Yes,6,5,12.8,6,2,11.5,0.833,0.333,12.15,12.4,0.5,1.79,Enrolled
999,Single,2nd phase - general contingent,Tourism,Daytime,Secondary Education,109.4,Yes,No,No,Yes,Female,No,19,No,6,6,12.666666666666666,6,5,13.4,1.0,0.833,13.03,11.1,0.6,2.02,Graduate
1000,Single,1st phase - general contingent,Communication Design,Daytime,Secondary Education,143.6,Yes,No,No,Yes,Female,No,18,No,6,6,12.5,6,6,13.0,1.0,1.0,12.75,7.6,2.6,0.32,Dropout
1001,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,124.3,No,Yes,No,Yes,Female,No,18,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
1002,Single,1st phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,119.5,Yes,No,No,No,Female,No,18,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,8.9,1.4,3.51,Dropout
1003,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,175.6,Yes,No,No,Yes,Female,No,18,No,0,0,0.0,0,0,0.0,0,0,0.0,11.1,0.6,2.02,Graduate
1004,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,116.1,Yes,No,No,Yes,Female,Yes,19,No,5,5,11.2,5,3,11.0,1.0,0.6,11.1,12.4,0.5,1.79,Graduate
1005,Single,2nd phase - general contingent,Social Service,Daytime,Secondary Education,126.6,Yes,No,No,Yes,Female,No,18,No,6,6,16.5,6,6,17.428571428571427,1.0,1.0,16.96,11.1,0.6,2.02,Dropout
1006,Single,2nd phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,130.8,Yes,No,No,Yes,Female,No,18,No,5,3,13.666666666666666,5,5,12.0,0.6,1.0,12.83,12.7,3.7,-1.7,Graduate
1007,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,133.5,Yes,No,No,Yes,Female,Yes,18,No,8,7,15.228571428571428,8,7,15.228571428571428,0.875,0.875,15.23,12.7,3.7,-1.7,Graduate
1008,Single,Short cycle diploma holders,Social Service,Daytime,Professional Higher Technical Course,136.9,Yes,No,No,Yes,Female,No,21,No,9,9,12.77777777777778,9,9,13.22222222222222,1.0,1.0,13.0,8.9,1.4,3.51,Graduate
1009,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,142.3,No,No,No,Yes,Female,Yes,18,No,8,7,14.428571428571429,8,7,14.428571428571429,0.875,0.875,14.43,12.7,3.7,-1.7,Graduate
1010,Single,2nd phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,114.3,Yes,No,No,Yes,Female,No,18,No,6,6,13.875,6,6,13.714285714285714,1.0,1.0,13.79,11.1,0.6,2.02,Graduate
1011,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,122.9,Yes,No,No,Yes,Female,No,18,No,7,7,13.128,8,6,13.193333333333332,1.0,0.75,13.16,15.5,2.8,-4.06,Graduate
1012,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,117.2,Yes,No,No,Yes,Female,No,20,No,7,6,11.605,8,7,12.4125,0.857,0.875,12.01,16.2,0.3,-0.92,Graduate
1013,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,152.0,No,No,No,Yes,Female,Yes,18,No,5,5,14.6,5,5,12.0,1.0,1.0,13.3,12.7,3.7,-1.7,Graduate
1014,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,122.2,Yes,No,No,Yes,Female,No,18,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
1015,Single,3rd phase - general contingent,Management,Daytime,Secondary Education,101.7,Yes,No,No,Yes,Female,Yes,20,No,5,5,11.8,5,5,11.6,1.0,1.0,11.7,8.9,1.4,3.51,Graduate
1016,Single,2nd phase - general contingent,Tourism,Daytime,Secondary Education,119.9,Yes,No,No,Yes,Female,No,20,No,6,6,12.333333333333334,6,6,12.333333333333334,1.0,1.0,12.33,12.4,0.5,1.79,Graduate
1017,Single,2nd phase - general contingent,Management,Daytime,Secondary Education,123.7,Yes,No,Yes,Yes,Female,Yes,19,No,5,4,11.0,5,0,0.0,0.8,0.0,5.5,11.1,0.6,2.02,Dropout
1018,Single,Change of institution/course,Communication Design,Daytime,Secondary Education,121.8,No,No,No,Yes,Female,Yes,19,No,11,11,13.181818181818182,11,11,12.909090909090908,1.0,1.0,13.05,11.1,0.6,2.02,Graduate
1019,Single,2nd phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,106.1,Yes,Yes,Yes,No,Female,Yes,18,No,6,1,11.0,6,0,0.0,0.167,0.0,5.5,12.7,3.7,-1.7,Dropout
1020,Single,2nd phase - general contingent,Journalism and Communication,Daytime,Secondary Education,124.3,Yes,No,Yes,Yes,Female,Yes,19,No,6,6,11.833333333333334,6,6,12.285714285714286,1.0,1.0,12.06,15.5,2.8,-4.06,Graduate
1021,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,124.3,Yes,No,No,Yes,Female,Yes,20,No,8,8,12.98125,8,8,12.98125,1.0,1.0,12.98,9.4,-0.8,-3.12,Graduate
1022,Single,Technological specialization diploma holders,Management,Daytime,Technological Specialization Course,117.4,Yes,No,No,Yes,Female,No,21,No,7,6,11.333333333333334,5,5,11.2,0.857,1.0,11.27,11.1,0.6,2.02,Graduate
1023,Single,Change of course,Nursing,Daytime,Secondary Education,112.7,No,No,No,Yes,Female,No,21,No,8,6,11.68,8,6,11.68,0.75,0.75,11.68,10.8,1.4,1.74,Graduate
1024,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,123.7,No,No,No,Yes,Female,No,20,No,6,6,14.5,6,6,13.5,1.0,1.0,14.0,11.1,0.6,2.02,Graduate
1025,Single,3rd phase - general contingent,Basic Education,Daytime,Secondary Education,105.8,Yes,No,No,Yes,Female,No,19,No,7,7,13.142857142857142,7,7,12.857142857142858,1.0,1.0,13.0,8.9,1.4,3.51,Graduate
1026,Single,2nd phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,124.2,No,No,No,No,Female,No,21,No,5,2,11.5,5,2,10.5,0.4,0.4,11.0,7.6,2.6,0.32,Dropout
1027,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,122.3,No,No,No,Yes,Female,No,18,No,5,5,14.2,5,5,11.8,1.0,1.0,13.0,7.6,2.6,0.32,Graduate
1028,Single,1st phase - general contingent,Tourism,Daytime,Secondary Education,123.7,No,No,No,Yes,Female,Yes,19,No,6,5,11.666666666666666,6,5,12.2,0.833,0.833,11.93,8.9,1.4,3.51,Graduate
1029,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,129.8,Yes,No,No,Yes,Female,No,18,No,7,7,13.175,8,8,14.875,1.0,1.0,14.02,13.9,-0.3,0.79,Graduate
1030,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,123.8,Yes,No,No,Yes,Female,Yes,19,No,8,7,13.314285714285717,8,7,13.314285714285717,0.875,0.875,13.31,12.7,3.7,-1.7,Graduate
1031,Single,1st phase - general contingent,Management,Daytime,Secondary Education,126.4,Yes,No,No,Yes,Female,Yes,18,No,5,3,10.6,5,3,10.5,0.6,0.6,10.55,13.9,-0.3,0.79,Graduate
1032,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,115.1,No,No,No,Yes,Female,Yes,18,No,6,4,12.0,6,4,10.75,0.667,0.667,11.38,15.5,2.8,-4.06,Enrolled
1033,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,138.4,No,No,No,Yes,Female,No,18,No,6,6,13.428571428571429,6,6,14.142857142857142,1.0,1.0,13.79,13.9,-0.3,0.79,Graduate
1034,Single,2nd phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,118.2,Yes,No,No,Yes,Female,Yes,18,No,5,4,13.25,5,5,15.571428571428571,0.8,1.0,14.41,10.8,1.4,1.74,Graduate
1035,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,121.7,Yes,No,No,Yes,Female,No,18,No,6,2,13.0,6,0,0.0,0.333,0.0,6.5,12.4,0.5,1.79,Dropout
1036,Single,1st phase - general contingent,Communication Design,Daytime,Secondary Education,118.0,No,No,No,Yes,Female,Yes,18,No,6,6,14.333333333333334,6,6,14.0,1.0,1.0,14.17,11.1,0.6,2.02,Enrolled
1037,Single,2nd phase - general contingent,Social Service,Daytime,Secondary Education,119.8,No,No,No,Yes,Female,No,18,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
1038,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,164.9,No,No,No,Yes,Female,No,18,No,6,6,14.0,6,6,13.166666666666666,1.0,1.0,13.58,10.8,1.4,1.74,Graduate
1039,Single,Transfer,Veterinary Nursing,Daytime,Secondary Education,100.0,Yes,No,No,Yes,Female,Yes,20,No,2,2,12.0,6,6,12.833333333333334,1.0,1.0,12.42,13.9,-0.3,0.79,Graduate
1040,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,121.6,No,No,No,Yes,Female,No,18,No,6,5,12.333333333333334,6,5,10.6,0.833,0.833,11.47,15.5,2.8,-4.06,Enrolled
1041,Single,2nd phase - general contingent,Communication Design,Daytime,Secondary Education,120.4,Yes,No,No,Yes,Female,No,18,No,6,5,11.8,6,5,10.4,0.833,0.833,11.1,16.2,0.3,-0.92,Graduate
1042,Single,3rd phase - general contingent,Nursing,Daytime,Secondary Education,117.8,No,No,No,Yes,Female,Yes,20,No,8,7,12.791428571428572,8,7,12.791428571428572,0.875,0.875,12.79,10.8,1.4,1.74,Graduate
1043,Divorced,Change of course,Advertising and Marketing Management,Daytime,Secondary Education,110.0,No,No,No,Yes,Female,No,40,No,8,8,11.625,7,5,11.2,1.0,0.714,11.41,9.4,-0.8,-3.12,Graduate
1044,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,128.8,Yes,No,No,Yes,Female,Yes,18,No,7,6,11.994444444444444,8,7,12.43142857142857,0.857,0.875,12.21,15.5,2.8,-4.06,Graduate
1045,Single,1st phase - general contingent,Tourism,Daytime,Secondary Education,116.6,Yes,No,No,Yes,Female,No,19,No,6,5,11.6,6,5,12.2,0.833,0.833,11.9,13.9,-0.3,0.79,Graduate
1046,Single,Holders of other higher courses,Management (evening attendance),Evening,Higher Education - Degree (1st cycle),120.0,No,No,No,Yes,Female,No,24,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,Dropout
1047,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,157.5,Yes,No,No,Yes,Female,No,19,No,6,6,13.166666666666666,6,6,13.166666666666666,1.0,1.0,13.17,10.8,1.4,1.74,Dropout
1048,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,136.3,Yes,No,No,Yes,Female,No,19,No,8,7,14.1,8,7,14.1,0.875,0.875,14.1,10.8,1.4,1.74,Graduate
1049,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,121.5,Yes,No,No,Yes,Female,Yes,20,No,7,6,12.396666666666668,8,7,12.94285714285714,0.857,0.875,12.67,11.1,0.6,2.02,Graduate
1050,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,133.9,No,No,No,Yes,Female,No,18,No,7,7,15.014285714285714,8,8,16.0875,1.0,1.0,15.55,12.4,0.5,1.79,Graduate
1051,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,136.8,Yes,No,No,Yes,Female,Yes,18,No,0,0,0.0,0,0,0.0,0,0,0.0,13.9,-0.3,0.79,Graduate
1052,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,133.5,Yes,No,No,Yes,Female,No,19,No,7,7,14.05,8,8,15.1,1.0,1.0,14.58,13.9,-0.3,0.79,Graduate
1053,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,130.0,Yes,No,No,Yes,Female,No,18,No,7,7,14.85,8,8,15.2,1.0,1.0,15.02,13.9,-0.3,0.79,Dropout
1054,Single,Technological specialization diploma holders,Veterinary Nursing,Daytime,Technological Specialization Course,140.0,Yes,No,No,Yes,Female,No,19,No,6,6,13.0,6,5,13.0,1.0,0.833,13.0,12.4,0.5,1.79,Graduate
1055,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,132.7,Yes,No,No,Yes,Female,Yes,19,No,7,7,14.7875,8,8,15.8625,1.0,1.0,15.32,13.9,-0.3,0.79,Graduate
1056,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,117.8,No,No,No,Yes,Female,Yes,19,No,7,7,13.7,8,7,14.671428571428574,1.0,0.875,14.19,12.4,0.5,1.79,Graduate
1057,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,126.1,Yes,No,No,Yes,Female,Yes,19,No,7,7,12.495714285714286,8,7,12.242857142857144,1.0,0.875,12.37,11.1,0.6,2.02,Dropout
1058,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,120.0,No,No,No,Yes,Female,No,19,No,7,6,14.566666666666668,7,6,14.566666666666668,0.857,0.857,14.57,7.6,2.6,0.32,Graduate
1059,Single,Over 23 years old,Advertising and Marketing Management,Daytime,Other - 11th Year,100.0,Yes,No,Yes,No,Female,No,25,No,5,5,11.2,5,4,11.25,1.0,0.8,11.22,9.4,-0.8,-3.12,Dropout
1060,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,116.8,No,No,No,Yes,Female,No,20,No,8,7,12.685714285714283,8,7,12.685714285714283,0.875,0.875,12.69,12.7,3.7,-1.7,Graduate
1061,Single,Short cycle diploma holders,Social Service,Daytime,Professional Higher Technical Course,128.3,No,No,Yes,No,Female,No,23,No,9,7,13.571428571428571,9,4,13.25,0.778,0.444,13.41,8.9,1.4,3.51,Dropout
1062,Single,1st phase - general contingent,Communication Design,Daytime,Secondary Education,117.0,No,No,No,Yes,Female,No,20,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
1063,Single,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,131.5,No,No,No,Yes,Female,No,27,No,6,5,11.0,6,6,11.166666666666666,0.833,1.0,11.08,11.1,0.6,2.02,Graduate
1064,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,134.8,No,No,No,Yes,Female,No,18,No,8,8,14.445,8,8,14.445,1.0,1.0,14.44,9.4,-0.8,-3.12,Graduate
1065,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,146.6,Yes,No,Yes,Yes,Female,No,18,No,6,5,13.6,6,4,11.75,0.833,0.667,12.68,9.4,-0.8,-3.12,Enrolled
1066,Single,Holders of other higher courses,Social Service (evening attendance),Evening,Higher Education - Degree (1st cycle),130.0,Yes,No,Yes,No,Female,No,23,No,12,11,14.0,10,8,14.625,0.917,0.8,14.31,13.9,-0.3,0.79,Dropout
1067,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,127.5,Yes,No,No,Yes,Female,Yes,19,No,7,6,13.416666666666666,7,6,13.416666666666666,0.857,0.857,13.42,7.6,2.6,0.32,Graduate
1068,Single,1st phase - general contingent,Management,Daytime,Secondary Education,123.0,No,No,No,Yes,Female,No,18,No,5,5,12.333333333333334,5,5,11.4,1.0,1.0,11.87,15.5,2.8,-4.06,Graduate
1069,Single,Change of course,Nursing,Daytime,Secondary Education,100.0,Yes,No,No,Yes,Female,No,20,No,7,7,13.1,8,8,14.8125,1.0,1.0,13.96,13.9,-0.3,0.79,Graduate
1070,Single,1st phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,114.2,Yes,No,No,Yes,Female,No,18,No,6,4,13.2,6,5,12.8,0.667,0.833,13.0,12.4,0.5,1.79,Graduate
1071,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,123.5,Yes,No,No,Yes,Female,Yes,19,No,8,8,14.75,8,8,14.75,1.0,1.0,14.75,9.4,-0.8,-3.12,Graduate
1072,Single,Technological specialization diploma holders,Social Service,Daytime,Technological Specialization Course,144.3,Yes,No,No,Yes,Female,Yes,19,No,6,6,13.142857142857142,6,6,14.333333333333334,1.0,1.0,13.74,12.4,0.5,1.79,Graduate
1073,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,142.2,No,No,No,Yes,Female,No,19,No,6,4,12.5,6,5,12.5,0.667,0.833,12.5,9.4,-0.8,-3.12,Enrolled
1074,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,161.9,No,No,No,Yes,Female,No,18,No,5,4,13.75,5,5,14.857142857142858,0.8,1.0,14.3,7.6,2.6,0.32,Graduate
1075,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,135.9,No,No,No,Yes,Female,No,18,No,6,5,12.4,6,6,13.0,0.833,1.0,12.7,9.4,-0.8,-3.12,Graduate
1076,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,110.1,Yes,No,No,Yes,Female,No,18,No,6,6,13.333333333333334,6,6,12.0,1.0,1.0,12.67,11.1,0.6,2.02,Graduate
1077,Single,Ordinance No. 612/93,Basic Education,Daytime,Secondary Education,122.5,No,No,No,No,Female,No,28,No,11,11,11.727272727272728,8,8,12.0,1.0,1.0,11.86,15.5,2.8,-4.06,Dropout
1078,Single,2nd phase - general contingent,Tourism,Daytime,Secondary Education,138.1,Yes,No,No,Yes,Female,No,19,No,6,4,12.5,6,1,14.0,0.667,0.167,13.25,7.6,2.6,0.32,Dropout
1079,Single,Change of course,Animation and Multimedia Design,Daytime,Secondary Education,117.3,Yes,No,Yes,Yes,Female,No,20,No,0,0,0.0,0,0,0.0,0,0,0.0,13.9,-0.3,0.79,Dropout
1080,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,106.8,Yes,No,No,Yes,Female,Yes,19,No,7,6,13.533333333333331,8,7,13.614285714285714,0.857,0.875,13.57,12.4,0.5,1.79,Graduate
1081,Single,1st phase - general contingent,Communication Design,Daytime,Secondary Education,120.1,No,Yes,No,Yes,Female,Yes,20,No,6,6,13.166666666666666,6,6,12.666666666666666,1.0,1.0,12.92,11.1,0.6,2.02,Graduate
1082,Single,1st phase - general contingent,Tourism,Daytime,Secondary Education,116.5,Yes,No,No,Yes,Female,Yes,19,No,6,5,13.2,6,5,11.0,0.833,0.833,12.1,12.4,0.5,1.79,Graduate
1083,Single,Change of institution/course,Communication Design,Daytime,Secondary Education,120.0,Yes,No,No,Yes,Female,No,21,No,6,5,12.2,6,4,12.6,0.833,0.667,12.4,8.9,1.4,3.51,Enrolled
1084,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,139.7,Yes,No,No,Yes,Female,Yes,19,No,7,7,13.428571428571429,7,7,14.857142857142858,1.0,1.0,14.14,11.1,0.6,2.02,Graduate
1085,Single,1st phase - general contingent,Communication Design,Daytime,Secondary Education,123.7,Yes,No,No,Yes,Female,Yes,18,No,6,6,12.714285714285714,6,6,12.625,1.0,1.0,12.67,13.9,-0.3,0.79,Graduate
1086,Single,2nd phase - general contingent,Equinculture,Daytime,Secondary Education,116.5,No,No,No,Yes,Female,No,19,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
1087,Single,2nd phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,122.2,No,No,No,Yes,Female,Yes,19,No,6,6,13.666666666666666,6,6,13.666666666666666,1.0,1.0,13.67,8.9,1.4,3.51,Graduate
1088,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,146.0,No,No,Yes,Yes,Female,No,20,No,6,5,11.0,6,6,13.166666666666666,0.833,1.0,12.08,16.2,0.3,-0.92,Graduate
